id,treatment,fulfillment1q,fulfillment1s1,fulfillment1s2,fulfillment2q,fulfillment2s1,fulfillment2s2,fulfillment3q,fulfillment3s1,fulfillment3s2,fulfillment4q,fulfillment4s1,fulfillment4s2,fulfillment5q,fulfillment5s1,fulfillment5s2,fulfillment6q,fulfillment6s1,fulfillment6s2,justice1q,justice1s1,justice1s2,justice2q,justice2s1,justice2s2,justice3q,justice3s1,justice3s2,justice4q,justice4s1,justice4s2,justice5q,justice5s1,justice5s2,justice6q,justice6s1,justice6s2,control1fulfillment,control1justice,control2,age,gender,income,education,state,space,persons,politics
1,1,3,-12,-2,1,-8,-5,3,-10,-5,2,-1,-4,3,-8,-5,3,-12,-8,,,,,,,,,,,,,,,,,,,3,,3,24,1,500,7,9,56,2,2
2,2,,,,,,,,,,,,,,,,,,,1,-1,-1,3,-8,-5,3,-10,-6,2,-2,-4,1,-2,-2,1,-.80000001,-.80000001,,3,4,44,1,950,5,9,42,1,3
3,2,,,,,,,,,,,,,,,,,,,3,-4,-2,3,-5,-2,3,-4,-3,2,-2,-3,1,-3,-3,3,-5,-4,,3,3,20,1,554,4,9,65,2,2
4,2,,,,,,,,,,,,,,,,,,,3,-3,0,3,-4,-1,1,-3,-3,2,0,-2,2,0,-3,1,-5,-5,,3,4,26,2,400,7,9,60,2,3
5,2,,,,,,,,,,,,,,,,,,,3,-3,2,3,-6,-2,3,-8,-2,3,-1,-1,3,-3,1,3,-7,-1,,3,4,20,1,,4,9,50,2,2
6,2,,,,,,,,,,,,,,,,,,,3,-1,0,3,-2,-1,3,-2,-1,1,-1,-1,1,-1,-1,1,-1,-1,,3,5,23,3,450,4,9,30,1,4
7,1,3,-8,5,3,-8,-4,3,-9,-3,1,0,0,1,-7,-7,1,-8,-8,,,,,,,,,,,,,,,,,,,3,,4,20,1,400,4,9,40,1,2
8,2,,,,,,,,,,,,,,,,,,,3,-50,-10,3,-60,-20,3,-75,-66,1,-20,-20,1,-40,-40,1,-60,-60,,3,3,,,,,,,,
9,1,3,-20,-20,3,-40,-40,3,-60,-60,3,-5,-25,3,-16,-80,3,-24,-120,,,,,,,,,,,,,,,,,,,3,,3,64,3,4000,8,9,120,2,2
10,2,,,,,,,,,,,,,,,,,,,3,-5,-2,3,-7,-3,3,-10,-5,2,-1,-3,3,-6,-4,2,-5,-7,,3,4,22,1,1250,4,9,37,1,1
11,1,2,0,-1,3,-1,-2,3,1,1,1,0,0,1,-.5,-.5,1,-3,-3,,,,,,,,,,,,,,,,,,,3,,3,21,1,855,4,9,150,2,1
12,2,,,,,,,,,,,,,,,,,,,3,-8,-1,3,-20,-2,3,-30,-6,1,-5,-2,1,-8,-4,1,-10,-5,,3,4,27,3,0,4,9,120,4,2
13,2,,,,,,,,,,,,,,,,,,,3,-5,-1,3,-7,-2,3,-7,-3,1,-2,-2,1,-4,-4,1,-6,-6,,3,4,30,1,3300,11,9,87,2,3
14,2,,,,,,,,,,,,,,,,,,,3,-.5,.1,3,-.67000002,-.2,3,25,873,1,0,0,1,0,0,1,0,0,,3,3,19,1,0,4,9,19,4,4
15,2,,,,,,,,,,,,,,,,,,,3,-3,-1,3,-3,-1,3,0,-1,2,-1,-2,2,-1,-2,3,-4,-2,,3,4,21,1,400,4,9,20,5,1
16,2,,,,,,,,,,,,,,,,,,,3,-.5,0,3,-.5,-.1,3,-.5,-.2,1,0,0,1,-.30000001,-.30000001,1,-.60000002,-.60000002,,3,4,25,3,1300,5,9,80,2,7
17,2,,,,,,,,,,,,,,,,,,,3,-6,-2,3,-7,-4,3,-8,-3,2,-1.5,-3,1,-4,-4,2,-6,-9,,3,4,20,1,0,5,10,150,4,2
18,2,,,,,,,,,,,,,,,,,,,3,-50,-10,3,-67,-20,3,-75,-30,1,-20,-20,3,-40,-40,3,-60,-60,,3,4,24,3,0,5,9,36,1,2
19,1,3,-1,3,3,-2,2,3,-3,3,3,1,1,3,-1,2,1,-2,-2,,,,,,,,,,,,,,,,,,,3,,4,36,1,1400,8,9,180,4,1
20,2,,,,,,,,,,,,,,,,,,,3,-4,4,3,-6,6,3,-6,6,1,0,0,1,0,0,1,0,0,,3,4,23,3,300,4,9,25,1,4
21,2,,,,,,,,,,,,,,,,,,,3,-60,-20,3,-100,-50,3,-100,-50,1,-40,-40,1,-50,-50,1,-100,-100,,3,4,23,1,1200,7,9,40,3,3
22,2,,,,,,,,,,,,,,,,,,,3,-2,-1,3,-2,-1,3,-4,-2,3,-1,1,1,-1,-1,1,-1,-1,,3,4,24,1,0,4,9,45,1,4
23,2,,,,,,,,,,,,,,,,,,,1,-2,-2,1,-3,-3,1,-4,-4,2,-1,-3,2,-2,-5,2,-2,-4,,3,3,24,3,0,4,9,25,1,2
24,2,,,,,,,,,,,,,,,,,,,3,-10,0,3,-10,5,3,-20,10,1,0,0,3,-10,0,1,-10,-10,,3,4,25,1,450,4,9,12,9,1
25,1,3,-1,-.30000001,1,-.66000003,-.80000001,2,-4,-3,3,2,-.67000002,1,-.67000002,-.67000002,1,-3,-3,,,,,,,,,,,,,,,,,,,3,,4,20,3,556,4,9,180,4,2
26,2,,,,,,,,,,,,,,,,,,,3,-3,0,3,-3,-1,3,-4,-1,1,0,0,3,-3,-1,3,-4,-2,,3,4,37,1,1400,5,9,140,5,4
27,2,,,,,,,,,,,,,,,,,,,3,-5,10,3,-10,10,3,-11,5,3,-3,2,3,-5,2,3,-10,-3,,3,4,22,3,100,4,9,16,1,4
28,1,3,-5,-1,3,-6,-2,3,-6,-2,1,-1,-1,1,-3,-3,1,-5,-5,,,,,,,,,,,,,,,,,,,3,,3,19,1,500,4,9,28,1,1
29,1,3,-1,-.5,3,-2,-.5,3,-3,-.5,1,-.40000001,-.5,1,-.5,-.5,1,-1,-1,,,,,,,,,,,,,,,,,,,3,,4,24,1,855,4,9,34,1,1
30,1,3,-7,-1,3,-7,-5,3,-10,-5,2,-1,-3,1,-7,-7,1,-10,-10,,,,,,,,,,,,,,,,,,,3,,3,21,1,300,4,9,200,3,6
31,2,,,,,,,,,,,,,,,,,,,1,0,0,1,2,2,1,3,3,2,1,3,2,3,4,2,3,6,,3,4,24,1,550,7,9,44,2,3
32,2,,,,,,,,,,,,,,,,,,,3,-50,-20,3,-80,-60,2,-80,-60,1,-15,-15,3,-40,-10,1,-60,-60,,3,4,44,1,950,5,9,142,,3
33,1,3,-5,-2,3,-4,-2,2,-5,-2,1,-1,-1.5,1,-2,-2,2,-5,-20,,,,,,,,,,,,,,,,,,,3,,4,20,1,560,4,9,75,2,3
34,1,1,-2,-2,1,-3,-3,1,-4,-4,2,0,-4,2,-2,-5,2,-5,-6,,,,,,,,,,,,,,,,,,,3,,4,21,1,0,4,9,110,4,2
35,1,3,-50,-10,3,-80,-20,3,-80,-40,1,-20,-20,1,-45,-45,1,-80,-80,,,,,,,,,,,,,,,,,,,3,,4,35,3,2750,8,5,45,1,2
36,2,,,,,,,,,,,,,,,,,,,3,-25,-3,3,-35,-7,3,-50,-5,1,-3,-3,3,-15,-13,1,-30,-30,,3,4,24,3,3000,7,9,52,2,2
37,2,,,,,,,,,,,,,,,,,,,1,9,3,1,4,3,1,7,7,1,9,2,1,3,2,3,20,40,,1,3,29,2,1470,1,5,30,2,4
38,2,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,2,1,,3,4,,1,2000,3,9,72,1,3
39,2,,,,,,,,,,,,,,,,,,,3,-5,0,3,-6,-2,3,-5,-1,1,-1,-2,1,0,0,1,0,0,,3,4,42,3,900,4,9,45,1,2
40,1,3,-5,-4,3,-8,-4,3,-8,-4,2,-2,-4,1,-3,-3,1,-4,-4,,,,,,,,,,,,,,,,,,,3,,4,21,1,300,4,9,52,2,4
41,1,3,1,8,3,1,8,3,0,8,1,8,8,3,3,7,1,0,0,,,,,,,,,,,,,,,,,,,3,,4,23,1,400,4,9,80,2,2
42,2,,,,,,,,,,,,,,,,,,,1,-2,-1,3,-3,-1,3,-2,-1,2,0,-1,2,-1,-3,1,-3,-3,,3,4,26,1,400,7,9,80,3,3
43,1,3,-10,-1,3,-15,-5,3,-20,-6,1,-5,-2,3,-10,-8,1,-10,-11,,,,,,,,,,,,,,,,,,,3,,4,19,1,,4,9,65,2,3
44,1,3,-5,-3,3,-5,-2,3,-6,-3,1,-2,-2,1,-3,-3,1,-4,-4,,,,,,,,,,,,,,,,,,,3,,4,39,1,430,8,9,120,5,3
45,2,,,,,,,,,,,,,,,,,,,3,-5,5,3,-8,5,3,-10,8,2,5,-2,1,0,0,1,-5,-5,,3,4,30,1,2400,4,9,170,3,5
46,2,,,,,,,,,,,,,,,,,,,3,-20,10,3,-50,-5,3,-70,-20,1,0,0,3,-20,-10,3,-50,-25,,3,4,23,1,,4,9,20,1,3
47,2,,,,,,,,,,,,,,,,,,,3,-5,-2,3,-8,-3,3,-10,-2,2,-1,-2,1,-7,-3,1,-12,-7,,3,4,23,1,500,4,9,65,1,1
48,1,3,-30,-5,3,-60,-10,3,-50,-40,2,-10,-15,1,-40,-40,3,-40,-50,,,,,,,,,,,,,,,,,,,3,,4,26,3,780,4,9,60,2,6
49,1,1,-5,-1,1,-7,-3,1,-6,-4,2,0,-2,2,-3,-5,2,-6,-7,,,,,,,,,,,,,,,,,,,3,,4,23,1,520,7,9,25,1,4
50,1,3,-6,-2,3,-9,-4,3,-12,-4,2,-2,-5,1,-5,-5,3,-7,-3,,,,,,,,,,,,,,,,,,,3,,3,22,3,0,4,9,37,1,2
51,2,,,,,,,,,,,,,,,,,,,3,5,0,3,-7,-1,3,-8,-3,1,-2,-2,1,-4,-4,1,-7,-7,,3,3,20,1,1000,4,9,83,3,3
52,1,3,-10,-1,3,-6,-2,3,-7.5,-3,1,-2,-2,1,-4,-4,1,-6,-6,,,,,,,,,,,,,,,,,,,3,,4,22,3,1000,4,9,12,2,3
53,1,3,0,3,3,-1,2,2,-2,2,2,3,2,1,1,1,2,-1,-3,,,,,,,,,,,,,,,,,,,3,,4,19,1,,4,9,,,
54,2,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,3,-1,-1,2,2,-1,2,2,-1,,3,4,20,1,0,4,9,50,3,4
55,2,,,,,,,,,,,,,,,,,,,1,-5,-3,1,-5,-5,1,-7,-7,2,-1,-5,2,-3,-7,2,-5,-8,,3,4,21,1,1100,4,9,48,2,3
