id,lastpage,startdate,datestamp,randnumber,case1a1,case1a2,case1a3,case1a4,case1a5,case1a6,case1a7,case1a8,case1a9,case1b1,case1b2,case1b3,case1b4,case1b5,case1b6,case1b7,case1b8,case1b9,case1c1,case1c2,case1c3,case1c4,case1c5,case1c6,case1c7,case1c8,case1c9,case1d1,case1d2,case1d3,case1d4,case1d5,case1d6,case1d7,case1d8,case1d9,case2a1,case2a2,case2a3,case2a4,case2a5,case2a6,case2a7,case2a8,case2a9,case2a10,case2a11,case2a12,case2a13,case2a14,case2a15,case2b1,case2b2,case2b3,case2b4,case2b5,case2b6,case2b7,case2b8,case2b9,case2b10,case2b11,case2b12,case2b13,case2b14,case2b15,kontrolle1,kontrolle2b,wuerde,mitbewohner,wohnraum,alter,geschlecht,einkommen,bildung,bundesland,politik,abschluss
1,89,2026-03-17 15:52:27,2026-03-17 15:58:33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,20.0,2.0,125.0,59.0,3.0,3885.0,5.0,10.0,5.0,
2,60,2026-03-17 15:54:37,2026-03-17 15:54:55,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,89,2026-03-17 15:54:46,2026-03-17 18:36:07,3,,,,,,,,,,,,,,,,,,,0.0,20.0,-1.0,80.0,0.0,100.0,2.0,120.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,3.0,150.0,58.0,1.0,2500.0,7.0,1.0,4.0,
4,89,2026-03-17 15:55:49,2026-03-17 16:41:00,1,-100.0,-30.0,-20.0,-10.0,0.0,10.0,10.0,20.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,2.0,110.0,58.0,1.0,250.0,8.0,10.0,3.0,
5,89,2026-03-17 16:00:49,2026-03-17 16:05:07,2,,,,,,,,,,15.0,-10.0,-8.0,-6.0,0.0,2.0,4.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,2.0,100.0,66.0,1.0,1800.0,7.0,16.0,2.0,
6,2,2026-03-17 16:02:03,2026-03-17 16:02:03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,89,2026-03-17 16:09:13,2026-03-17 16:14:31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,3.0,2.0,2.0,1.0,6.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,110.0,55.0,1.0,4400.0,5.0,9.0,5.0,
8,89,2026-03-17 16:20:27,2026-03-17 16:28:48,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,60.0,2.0,100.0,33.0,1.0,2900.0,7.0,1.0,5.0,
9,89,2026-03-17 16:43:34,2026-03-17 16:48:17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,5.0,2.0,2.0,3.0,7.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,70.0,29.0,3.0,2500.0,5.0,10.0,4.0,
10,51,2026-03-17 17:06:34,2026-03-17 17:08:32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,2.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,89,2026-03-17 17:12:46,2026-03-17 17:20:24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.0,-20.0,0.0,0.0,10.0,-5.0,-5.0,-10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,20.0,3.0,80.0,59.0,3.0,5900.0,5.0,6.0,5.0,
12,15,2026-03-17 17:13:00,2026-03-17 17:17:50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,89,2026-03-17 17:18:23,2026-03-17 17:25:23,1,-50.0,-40.0,-10.0,-2.0,0.0,2.0,5.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,27.0,2.0,90.0,57.0,3.0,0.0,5.0,7.0,4.0,
14,79,2026-03-17 17:25:03,2026-03-17 17:29:36,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
15,47,2026-03-17 17:30:30,2026-03-17 17:31:31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,89,2026-03-17 18:08:25,2026-03-17 18:21:56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,7.0,1.0,40.0,1.0,65.0,74.0,1.0,2000.0,5.0,1.0,5.0,
17,89,2026-03-17 18:11:41,2026-03-17 18:21:04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,87.0,65.0,1.0,1375.0,2.0,10.0,2.0,
18,89,2026-03-17 18:39:33,2026-03-17 18:44:42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-20.0,-5.0,-1.0,0.0,-2.0,-2.0,-10.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,90.0,54.0,3.0,4500.0,3.0,1.0,5.0,
19,89,2026-03-17 19:03:37,2026-03-17 19:07:07,1,-100.0,-60.0,-50.0,-20.0,0.0,10.0,20.0,50.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,70.0,1.0,116.0,42.0,3.0,2980.0,3.0,9.0,4.0,
20,89,2026-03-17 19:13:10,2026-03-17 19:18:11,1,-6.0,-5.0,-3.0,-1.0,0.0,3.0,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,70.0,69.0,1.0,1200.0,3.0,9.0,4.0,
21,89,2026-03-17 19:27:54,2026-03-17 19:34:13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,2.0,-1.0,4.0,3.0,3.0,2.0,99.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,25.0,6.0,170.0,48.0,3.0,6200.0,11.0,10.0,5.0,
22,89,2026-03-17 19:36:21,2026-03-17 19:52:02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,45.0,2.0,70.0,55.0,1.0,2800.0,6.0,3.0,4.0,
