id,lastpage,startdate,datestamp,randnumber,case1a1,case1a2,case1a3,case1a4,case1a5,case1a6,case1a7,case1a8,case1a9,case1b1,case1b2,case1b3,case1b4,case1b5,case1b6,case1b7,case1b8,case1b9,case1c1,case1c2,case1c3,case1c4,case1c5,case1c6,case1c7,case1c8,case1c9,case1d1,case1d2,case1d3,case1d4,case1d5,case1d6,case1d7,case1d8,case1d9,kontrolle1,kontrolle2b,wuerde,mitbewohner,wohnraum,alter,geschlecht,einkommen,bildung,bundesland,politik
1,3,2026-03-25 20:00:12,2026-03-25 20:00:33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2026-03-25 20:03:51,2026-03-25 20:03:51,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2026-03-25 20:04:10,2026-03-25 20:04:10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,2026-03-25 20:04:28,2026-03-25 20:07:40,3,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,7.0,1.0,50.0,1.0,42.0,29.0,1.0,2300.0,8.0,10.0,3.0
5,10,2026-03-25 20:05:09,2026-03-25 20:07:37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,
6,13,2026-03-25 20:06:37,2026-03-25 20:11:53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,-3.0,-3.0,-1.0,0.0,-1.0,-2.0,-3.0,-1.0,7.0,1.0,40.0,3.0,120.0,43.0,3.0,4400.0,5.0,9.0,5.0
7,13,2026-03-25 20:08:56,2026-03-25 20:18:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000000000000000.0,-10000000000.0,-10000.0,0.0,-10.0,-100.0,-10000.0,-1000000.0,-1000000.0,7.0,1.0,50.0,2.0,120.0,35.0,3.0,3100.0,8.0,9.0,3.0
8,3,2026-03-25 20:10:07,2026-03-25 20:11:53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13,2026-03-25 20:11:24,2026-03-25 20:15:39,3,,,,,,,,,,,,,,,,,,,-8.0,-6.0,-4.0,-2.0,0.0,2.0,4.0,6.0,8.0,,,,,,,,,,7.0,1.0,40.0,3.0,100.0,27.0,1.0,600.0,7.0,10.0,2.0
10,13,2026-03-25 20:26:56,2026-03-25 20:31:24,3,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,7.0,1.0,30.0,2.0,70.0,28.0,3.0,2900.0,8.0,1.0,3.0
11,13,2026-03-25 20:37:43,2026-03-25 20:43:13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,25.0,2.0,130.0,74.0,3.0,2500.0,6.0,1.0,5.0
12,10,2026-03-25 20:46:00,2026-03-25 20:47:48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,50.0,30.0,80.0,20.0,20.0,60.0,80.0,7.0,0.0,,,,,,,,,
13,3,2026-03-25 20:52:55,2026-03-25 20:53:03,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5,2026-03-25 21:00:22,2026-03-25 21:00:32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,2026-03-25 21:00:22,2026-03-25 21:00:39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,2026-03-25 21:02:22,2026-03-25 21:10:14,2,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,7.0,1.0,25.0,1.0,52.0,34.0,3.0,2898.0,7.0,10.0,4.0
17,4,2026-03-25 21:09:34,2026-03-25 21:10:10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,2026-03-25 21:21:35,2026-03-25 21:22:55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,13,2026-03-25 21:33:51,2026-03-25 21:41:02,3,,,,,,,,,,,,,,,,,,,-100.0,-75.0,-50.0,-25.0,0.0,25.0,50.0,75.0,100.0,,,,,,,,,,7.0,1.0,30.0,1.0,40.0,39.0,3.0,2600.0,8.0,10.0,4.0
20,13,2026-03-25 21:39:37,2026-03-25 21:42:46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,160.0,7.0,1.0,40.0,2.0,87.0,51.0,1.0,2400.0,5.0,10.0,3.0
21,10,2026-03-25 21:44:28,2026-03-25 21:51:11,2,,,,,,,,,,80.0,60.0,40.0,20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
22,13,2026-03-25 21:49:17,2026-03-25 21:53:26,3,,,,,,,,,,,,,,,,,,,0.0,20.0,40.0,60.0,80.0,20.0,40.0,60.0,80.0,,,,,,,,,,7.0,1.0,40.0,1.0,100.0,54.0,1.0,1250.0,3.0,1.0,6.0
23,3,2026-03-25 21:51:41,2026-03-25 21:52:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13,2026-03-25 22:06:49,2026-03-25 22:13:56,3,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,7.0,1.0,40.0,4.0,110.0,38.0,1.0,0.0,4.0,7.0,4.0
25,13,2026-03-25 22:12:29,2026-03-25 22:16:22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,-6.0,-4.0,-2.0,0.0,2.0,4.0,6.0,8.0,7.0,1.0,40.0,2.0,55.0,32.0,3.0,1000.0,8.0,10.0,5.0
26,6,2026-03-25 22:13:02,2026-03-25 22:13:17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,13,2026-03-25 22:17:32,2026-03-25 22:22:51,3,,,,,,,,,,,,,,,,,,,0.0,20.0,50.0,75.0,100.0,110.0,130.0,135.0,200.0,,,,,,,,,,7.0,1.0,70.0,3.0,100.0,66.0,3.0,2500.0,5.0,12.0,3.0
28,6,2026-03-25 22:18:20,2026-03-25 22:18:37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,13,2026-03-25 23:34:09,2026-03-25 23:37:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.0,40.0,100.0,60.0,40.0,20.0,10.0,7.0,1.0,30.0,3.0,125.0,45.0,1.0,2000.0,5.0,10.0,4.0
30,13,2026-03-25 23:42:36,2026-03-25 23:47:23,1,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,100.0,54.0,1.0,2500.0,8.0,9.0,2.0
31,13,2026-03-25 23:44:42,2026-03-25 23:48:40,2,,,,,,,,,,100.0,100.0,100.0,60.0,0.0,20.0,60.0,80.0,100.0,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,140.0,55.0,3.0,1800.0,5.0,2.0,5.0
32,6,2026-03-26 00:05:37,2026-03-26 00:06:26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3,2026-03-26 00:12:40,2026-03-26 00:12:55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,13,2026-03-26 00:24:09,2026-03-26 00:27:53,2,,,,,,,,,,-100.0,-90.0,-70.0,-50.0,10.0,12.0,15.0,20.0,40.0,,,,,,,,,,,,,,,,,,,7.0,1.0,45.0,1.0,45.0,39.0,1.0,200.0,8.0,16.0,3.0
35,13,2026-03-26 01:23:58,2026-03-26 01:28:13,3,,,,,,,,,,,,,,,,,,,80.0,60.0,40.0,20.0,0.0,-20.0,-40.0,-60.0,-80.0,,,,,,,,,,7.0,1.0,80.0,2.0,85.0,29.0,3.0,3000.0,3.0,2.0,3.0
36,13,2026-03-26 01:28:09,2026-03-26 01:41:58,1,-10.0,-6.0,-5.0,-3.0,0.0,3.0,5.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,3.0,70.0,39.0,3.0,1200.0,11.0,10.0,3.0
37,13,2026-03-26 02:33:08,2026-03-26 02:44:37,2,,,,,,,,,,-10.0,-5.0,-3.0,-2.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,45.0,53.0,1.0,960.0,3.0,16.0,1.0
38,13,2026-03-26 03:25:07,2026-03-26 03:29:05,3,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,10.0,40.0,60.0,80.0,,,,,,,,,,7.0,1.0,15.0,1.0,50.0,24.0,1.0,2600.0,4.0,10.0,4.0
39,13,2026-03-26 04:32:51,2026-03-26 04:37:33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,3.0,3.0,2.0,3.0,5.0,7.0,3.0,7.0,1.0,35.0,1.0,42.0,41.0,3.0,0.0,2.0,2.0,3.0
40,10,2026-03-26 05:25:53,2026-03-26 05:31:56,2,,,,,,,,,,80.0,60.0,40.0,20.0,0.0,-20.0,-40.0,-60.0,-80.0,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
41,10,2026-03-26 05:47:53,2026-03-26 05:53:58,1,80.0,60.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,
42,3,2026-03-26 06:37:53,2026-03-26 06:38:15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
