id,lastpage,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16,case17,case18,case19,case20,case21,control1,control2,age,gender,income,education,state,space,persons,politics
1,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,24,,0,4,9,150,4,2
2,8,-10,-10,-10,-10,-10,-8,-7,-5,-3,-1,0,1,1,3,5,7,8,9,10,10,10,3,4,33,3,4060,5,9,78,2,4
3,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,24,1,300,5,5,50,2,3
4,8,-10,-9,-9,-9,-8,-7,-6,-5,-3,-2,0,1,2,3,5,7,9,10,11,12,15,3,4,24,3,1600,4,9,26,1,2
5,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,0,0,0,10,20,30,40,50,60,70,3,4,34,1,1300,7,15,24,1,1
6,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,33,3,1400,5,9,62,2,5
7,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,19,1,550,4,9,50,1,2
8,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,,3,1600,5,9,130,3,2
9,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,27,3,0,7,9,30,6,1
10,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,23,1,1500,4,9,55,1,2
11,8,-10,-9,-9,-8,-7,-6,-5,-3,-2,-1,0,1,1,2,2,3,3,4,5,6,7,3,4,21,2,,4,9,12,2,2
12,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,22,3,1600,7,9,75,2,2
13,8,-1000000,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,25,3,,8,9,80,5,3
14,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,21,1,0,4,9,502,2,4
15,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,21,1,700,4,9,50,2,3
16,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,24,3,0,5,9,60,2,3
17,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,23,1,0,4,9,25,6,4
18,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,,1,0,4,9,30,2,4
19,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,25,3,500,7,9,35,1,2
20,8,-10,-10,-10,-10,-10,-9,-9,-7,-5,-2,0,1,3,4,5,7,7,9,9,10,10,3,4,20,1,0,4,9,100,3,2
21,8,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000,3,6,33,2,0,7,9,200,3,3
22,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,2,22,1,1.1,4,9,,3,4
23,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,23,1,0,4,9,40,1,4
24,8,-100,-100,-100,-90,-90,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,2,25,1,639,5,9,60,1,2
25,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,21,1,1000,4,9,150,5,2
26,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,21,1,150,4,9,180,3,3
27,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,21,3,400,4,9,200,3,5
28,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,2,25,1,0,4,9,100,3,3
29,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,21,3,1000,4,9,130,3,2
30,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,23,3,1350,5,9,77,2,5
31,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,2,36,3,1500,6,9,90,2,5
32,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,0,1,2,3,4,5,6,7,8,9,3,4,22,1,0,4,9,64,2,3
33,8,-100,-75,-60,-50,-45,-40,-30,-20,-10,-5,0,15,30,45,60,75,90,105,120,135,150,3,3,20,3,1000,4,9,60,1,2
34,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,24,1,556,4,9,70,2,3
35,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,18,1,450,4,9,30,1,4
36,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,22,1,1200,4,9,90,3,3
37,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,21,1,520,4,9,69,2,2
38,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,105,110,115,120,125,135,145,160,175,190,3,4,29,3,500,5,9,200,8,1
39,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,21,1,250,4,9,56,2,2
40,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,2,21,1,0,4,9,35,2,4
41,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,26,3,500,7,9,70,2,2
42,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,21,3,0,4,9,45,1,3
43,8,-10000,-1000,-700,-500,-250,-100,-75,-60,-20,-5,0,20,80,150,250,400,600,800,1200,1500,1750,3,4,19,3,850,4,9,30,1,2
44,8,-100,-95,-90,-80,-70,-60,-50,-20,-10,-1,0,20,25,30,50,70,80,90,100,100,100,3,4,29,3,1400,4,9,90,3,5
45,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,20,1,556,4,9,21,3,4
46,8,-10,-10,-8,-8,-6,-5,-2,-1,0,0,0,1,2,3,4,5,6,7,8,9,10,3,4,21,1,450,4,9,100,3,3
47,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,65,1,3500,8,9,110,2,2
48,8,-10,-10,-9,-8,-6,-5,-4,-3,-2,-1,0,1,1,2,3,5,5,6,7,10,10,3,4,20,1,200,4,9,80,3,2
49,8,0,-10,-20,-30,-40,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,22,1,0,4,9,20,1,3
50,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,19,1,250,4,9,18,1,3
51,8,-100,-100,-100,-100,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,100,100,100,100,100,3,2,21,,300,4,9,10,1,4
52,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,19,1,800,4,9,30,1,2
53,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,20,1,0,4,9,12,3,3
54,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,20,1,,4,9,23,1,2
55,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,2,20,1,300,4,9,36,1,3
56,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,20,2,500,4,5,120,3,2
57,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,27,1,1400,5,9,38,1,1
58,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,21,1,,4,9,40,1,2
59,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,2,3,23,3,1900,4,9,75,2,4
60,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,22,3,1200,7,9,33,1,3
61,8,-10,-10,-10,-10,-10,-7,-5,-2,-1,0,0,0,0,1,3,3,5,7,10,10,10,3,4,23,3,1300,4,9,120,4,5
62,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,19,1,0,4,9,50,2,3
63,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,27,1,538,4,9,80,1,3
64,8,-10,-10,-9,-9,-8,-7,-6,-4,-2,-1,0,0,1,2,4,5,6,7,8,9,10,3,4,22,3,400,7,9,80,2,2
65,8,-999,-500,-200,-100,-60,-50,-40,-30,-5,-1,0,1,5,10,20,40,60,70,80,90,100,3,4,28,3,0,5,9,20,1,2
66,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,19,3,200,4,9,12,6,2
67,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,25,3,0,5,9,33,1,4
68,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,0,10,20,30,40,50,60,70,80,90,3,4,22,1,800,4,9,20,2,2
69,8,-1.00000000000e+19,-80,-40,-20,-10,-5,-4,-3,-2,-1,0,1,2,3,4,5,10,20,40,80,160,3,4,22,3,500,4,9,140,3,3
70,8,-10,-9,-9,-9,-7,-6,-5,-3,-2,-1,0,1,2,3,5,6,7,9,9,9,10,3,4,20,2,387,4,9,200,3,2
71,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,110,120,130,140,150,160,170,180,190,200,3,4,21,1,766,4,9,110,4,4
72,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,19,3,220,4,9,120,8,4
73,8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,22,1,0,4,9,32,1,3
74,8,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,35,1,2200,8,9,115,3,3
