id,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16,case17,case18,case19,case20,case21,control1,control2,age,gender,income,education,state,space,persons,politics
1,-10,-10,-10,-10,-10,-10,-8,-6,-3,-1,0,1,2,4,6,8,9,10,10,10,10,3,4,26,3,400,7,9,27,1,3
2,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,26,3,0,7,9,150,3,3
3,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,24,1,800,7,9,120,3,2
4,-10,-10,-10,-7,-7,-5,-5,-3,-2,0,0,0,1,3,5,5,6,8,9,10,10,3,3,25,1,0,7,9,73,2,3
5,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,22,1,300,4,9,60,2,2
6,-100,-10,-3,-2,-1,0,0,2,5,1,0,-1,-4,-6,-10,-15,-20,-25,-30,-50,-100,3,4,20,3,500,4,9,65,2,5
7,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,21,1,250,4,9,35,4,2
8,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,23,3,0,5,9,20,1,2
9,-100,-100,-100,-100,-50,-50,-50,-25,-10,0,0,0,-5,-10,-50,-50,-100,-100,-100,-100,-100,3,4,,3,7000,8,9,110,2,3
10,-10,-10,-10,-10,-10,-10,-10,-8,-5,-2,0,2,5,10,10,10,10,10,10,10,10,3,4,32,3,3000,8,9,52,1,3
11,-48,-47,-46,-43,-39,-35,-29,-22,-15,-7,0,7,15,22,29,35,39,43,46,47,48,3,4,28,3,3000,8,9,48,1,2
12,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,35,3,3800,11,9,120,4,4
13,-100,-90,-90,-50,-40,-35,-30,-25,-20,-10,0,10,20,40,60,80,100,120,140,160,180,3,4,26,3,3000,8,9,270,4,3
14,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,29,3,2700,8,9,60,1,2
15,-10,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,0,3,4,42,3,2500,8,1,60,1,1
16,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,-10,-20,-30,-40,-50,-60,-70,-80,-90,-100,3,4,36,3,3000,8,9,120,3,4
17,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,37,1,2000,8,9,40,1,3
18,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,10,9,8,7,6,5,4,3,2,1,0,3,4,25,3,2600,8,9,90,1,2
19,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,-10,-20,-30,-40,-50,-60,-70,-80,-90,-100,3,4,26,1,3000,8,9,50,2,3
20,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,-10,-20,-30,-40,-50,-60,-70,-80,-90,-100,3,4,44,1,1800,8,5,135,4,1
21,-100,-100,-100,-100,-100,-50,-50,-25,-25,0,0,0,25,25,50,50,100,100,100,100,100,3,4,34,3,3000,8,9,90,2,1
22,-10,-10,-10,-10,-10,-7,-7,-7,-5,-5,0,5,5,7,7,7,10,10,10,10,10,3,4,29,1,2200,8,9,45,1,4
23,-100,-100,-100,-100,-100,-50,-50,-40,-30,-10,0,0,0,10,20,50,50,100,100,100,100,3,4,26,3,2500,8,9,55,1,1
24,-50,-40,-30,-20,-10,-8,-7,-4,-2,0,0,0,1,2,5,8,10,15,18,20,30,3,4,29,3,3000,8,9,75,2,2
